instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
84,2011-01-04,1,15,False,2,1,-17.62222222222222,-17.62627777777778,0.52,0.2537,15.0,48.0,65.0
85,2011-01-04,1,16,False,2,1,-17.61111111111111,-17.617833333333333,0.49,0.2537,15.0,68.0,83.0
86,2011-01-04,1,17,False,2,1,-17.62222222222222,-17.62627777777778,0.48,0.2239,10.0,162.5,183.5
87,2011-01-04,1,18,False,2,1,-17.633333333333333,-17.634666666666664,0.48,0.194,3.0,162.5,182.0
88,2011-01-04,1,19,False,2,1,-17.644444444444446,-17.634666666666664,0.48,0.1045,2.0,110.0,112.0
89,2011-01-04,1,20,False,2,1,-17.644444444444446,-17.634666666666664,0.48,0.1045,1.0,53.0,54.0
90,2011-01-04,1,21,False,2,1,-17.655555555555555,-17.62627777777778,0.64,0.0,0.0,48.0,48.0
91,2011-01-04,1,22,False,2,1,-17.655555555555555,-17.634666666666664,0.64,0.0896,1.0,34.0,35.0
92,2011-01-04,1,23,False,2,1,-17.666666666666668,-17.6515,0.69,0.0896,2.0,9.0,11.0
93,2011-01-05,1,0,False,3,1,-17.666666666666668,-17.634666666666664,0.64,0.0,0.0,6.0,6.0
94,2011-01-05,1,1,False,3,1,-17.688888888888886,-17.668333333333337,0.74,0.0896,0.0,6.0,6.0
95,2011-01-05,1,2,False,3,1,-17.688888888888886,-17.668333333333337,0.74,0.0896,0.0,2.0,2.0
96,2011-01-05,1,4,False,3,1,-17.644444444444446,-17.6515,0.48,0.2239,0.0,2.0,2.0
97,2011-01-05,1,5,False,3,1,-17.655555555555555,-17.6515,0.47,0.1642,0.0,3.0,3.0
98,2011-01-05,1,6,False,3,1,-17.666666666666668,-17.668333333333337,0.47,0.2239,0.0,33.0,33.0
99,2011-01-05,1,7,False,3,1,-17.677777777777777,-17.67677777777778,0.43,0.194,1.0,87.0,88.0
100,2011-01-05,1,8,False,3,1,-17.666666666666668,-17.67677777777778,0.4,0.2985,3.0,162.5,183.5
101,2011-01-05,1,9,False,3,1,-17.655555555555555,-17.668333333333337,0.37,0.3284,6.0,109.0,115.0
102,2011-01-05,1,10,False,3,1,-17.655555555555555,-17.668333333333337,0.37,0.3284,4.0,53.0,57.0
103,2011-01-05,1,11,False,3,1,-17.633333333333333,-17.6515,0.33,0.3284,12.0,34.0,46.0
104,2011-01-05,1,12,False,3,1,-17.633333333333333,-17.6515,0.33,0.3284,5.0,74.0,79.0
105,2011-01-05,1,13,False,3,1,-17.62222222222222,-17.634666666666664,0.3,0.2985,6.0,65.0,71.0
106,2011-01-05,1,14,False,3,1,-17.61111111111111,-17.617833333333333,0.28,0.194,10.0,52.0,62.0
107,2011-01-05,1,15,False,3,1,-17.61111111111111,-17.617833333333333,0.28,0.194,7.0,55.0,62.0
108,2011-01-05,1,16,False,3,1,-17.61111111111111,-17.601,0.28,0.0896,4.0,85.0,89.0
109,2011-01-05,1,17,False,3,1,-17.644444444444446,-17.6515,0.38,0.194,4.0,162.5,183.5
110,2011-01-05,1,18,False,3,1,-17.644444444444446,-17.64311111111111,0.38,0.1343,3.0,162.5,169.0
111,2011-01-05,1,19,False,3,1,-17.644444444444446,-17.634666666666664,0.38,0.1045,5.0,127.0,132.0
112,2011-01-05,1,20,False,3,1,-17.655555555555555,-17.6515,0.47,0.1642,7.0,82.0,89.0
113,2011-01-05,1,21,False,3,1,-17.666666666666668,-17.668333333333337,0.51,0.194,3.0,40.0,43.0
114,2011-01-05,1,22,False,3,1,-17.677777777777777,-17.668333333333337,0.55,0.1343,1.0,41.0,42.0
115,2011-01-05,1,23,False,3,1,-17.666666666666668,-17.634666666666664,0.47,0.0,1.0,18.0,19.0
116,2011-01-06,1,0,False,4,1,-17.677777777777777,-17.64311111111111,0.55,0.0,0.0,11.0,11.0
117,2011-01-06,1,1,False,4,1,-17.688888888888886,-17.6515,0.64,0.0,0.0,4.0,4.0
118,2011-01-06,1,2,False,4,1,-17.688888888888886,-17.6515,0.64,0.0,0.0,2.0,2.0
119,2011-01-06,1,4,False,4,2,-17.688888888888886,-17.668333333333337,0.64,0.0896,0.0,1.0,1.0
120,2011-01-06,1,5,False,4,2,-17.700000000000003,-17.67677777777778,0.69,0.0896,0.0,4.0,4.0
121,2011-01-06,1,6,False,4,2,-17.700000000000003,-17.685166666666667,0.63,0.1045,0.0,36.0,36.0
122,2011-01-06,1,7,False,4,2,-17.688888888888886,-17.6515,0.59,0.0,0.0,95.0,95.0
123,2011-01-06,1,8,False,4,1,-17.688888888888886,-17.6515,0.59,0.0,3.0,162.5,183.5
124,2011-01-06,1,9,False,4,2,-17.677777777777777,-17.64311111111111,0.51,0.0,6.0,116.0,122.0
125,2011-01-06,1,10,False,4,1,-17.666666666666668,-17.634666666666664,0.47,0.0,3.0,42.0,45.0
126,2011-01-06,1,11,False,4,1,-17.655555555555555,-17.634666666666664,0.44,0.0896,2.0,57.0,59.0
127,2011-01-06,1,12,False,4,1,-17.633333333333333,-17.617833333333333,0.35,0.0,6.0,78.0,84.0
128,2011-01-06,1,13,False,4,1,-17.633333333333333,-17.62627777777778,0.35,0.1045,12.0,55.0,67.0
129,2011-01-06,1,14,False,4,1,-17.62222222222222,-17.62627777777778,0.36,0.1642,11.0,59.0,70.0
130,2011-01-06,1,15,False,4,1,-17.62222222222222,-17.62627777777778,0.36,0.0,8.0,54.0,62.0
131,2011-01-06,1,16,False,4,1,-17.633333333333333,-17.634666666666664,0.38,0.1642,12.0,74.0,86.0
132,2011-01-06,1,17,False,4,1,-17.655555555555555,-17.6515,0.51,0.1642,9.0,162.5,172.0
133,2011-01-06,1,18,False,4,1,-17.655555555555555,-17.6515,0.51,0.1343,5.0,158.0,163.0
134,2011-01-06,1,19,False,4,1,-17.655555555555555,-17.634666666666664,0.55,0.0896,3.0,109.0,112.0
135,2011-01-06,1,20,False,4,1,-17.666666666666668,-17.659944444444445,0.51,0.1642,3.0,66.0,69.0
136,2011-01-06,1,21,False,4,2,-17.655555555555555,-17.659944444444445,0.55,0.2239,0.0,48.0,48.0
137,2011-01-06,1,22,False,4,2,-17.655555555555555,-17.659944444444445,0.51,0.2836,1.0,51.0,52.0
138,2011-01-06,1,23,False,4,2,-17.666666666666668,-17.668333333333337,0.59,0.194,4.0,19.0,23.0
139,2011-01-07,1,0,False,5,2,-17.666666666666668,-17.668333333333337,0.64,0.194,4.0,13.0,17.0
140,2011-01-07,1,1,False,5,2,-17.666666666666668,-17.668333333333337,0.69,0.2239,2.0,5.0,7.0
141,2011-01-07,1,2,False,5,2,-17.666666666666668,-17.668333333333337,0.69,0.2239,0.0,1.0,1.0
142,2011-01-07,1,4,False,5,2,-17.666666666666668,-17.659944444444445,0.69,0.1343,0.0,1.0,1.0
143,2011-01-07,1,5,False,5,3,-17.655555555555555,-17.62627777777778,0.55,0.0,0.0,5.0,5.0
144,2011-01-07,1,6,False,5,2,-17.666666666666668,-17.634666666666664,0.69,0.0,8.0,26.0,34.0
145,2011-01-07,1,7,False,5,1,-17.666666666666668,-17.659944444444445,0.69,0.1343,8.0,76.0,84.0
146,2011-01-07,1,8,False,5,1,-17.666666666666668,-17.668333333333337,0.51,0.2537,15.0,162.5,183.5
147,2011-01-07,1,9,False,5,1,-17.666666666666668,-17.67677777777778,0.47,0.2985,9.0,125.0,134.0
148,2011-01-07,1,10,False,5,1,-17.655555555555555,-17.668333333333337,0.37,0.3284,15.0,47.0,63.0
149,2011-01-07,1,11,False,5,2,-17.666666666666668,-17.668333333333337,0.4,0.2239,15.0,48.0,67.0
150,2011-01-07,1,12,False,5,2,-17.666666666666668,-17.668333333333337,0.37,0.2537,9.0,50.0,59.0
151,2011-01-07,1,13,False,5,2,-17.666666666666668,-17.67677777777778,0.37,0.2836,9.0,64.0,73.0
152,2011-01-07,1,14,False,5,2,-17.666666666666668,-17.668333333333337,0.4,0.2537,7.0,43.0,50.0
153,2011-01-07,1,15,False,5,2,-17.666666666666668,-17.659944444444445,0.37,0.1642,9.0,63.0,72.0
154,2011-01-07,1,16,False,5,2,-17.666666666666668,-17.659944444444445,0.37,0.1642,5.0,82.0,87.0
155,2011-01-07,1,17,False,5,2,-17.666666666666668,-17.634666666666664,0.37,0.0,9.0,162.5,183.5
156,2011-01-07,1,18,False,5,1,-17.666666666666668,-17.6515,0.4,0.0896,7.0,116.0,123.0
157,2011-01-07,1,19,False,5,1,-17.688888888888886,-17.668333333333337,0.55,0.0896,3.0,92.0,95.0
158,2011-01-07,1,20,False,5,1,-17.677777777777777,-17.659944444444445,0.47,0.1045,1.0,50.0,51.0
159,2011-01-07,1,21,False,5,1,-17.677777777777777,-17.668333333333337,0.47,0.1343,0.0,39.0,39.0
160,2011-01-07,1,22,False,5,2,-17.677777777777777,-17.668333333333337,0.43,0.1642,2.0,34.0,36.0
161,2011-01-07,1,23,False,5,2,-17.677777777777777,-17.668333333333337,0.51,0.1642,1.0,14.0,15.0
162,2011-01-08,1,0,False,6,2,-17.677777777777777,-17.668333333333337,0.51,0.1642,1.0,24.0,25.0
163,2011-01-08,1,1,False,6,2,-17.677777777777777,-17.659944444444445,0.55,0.0896,1.0,15.0,16.0
164,2011-01-08,1,2,False,6,2,-17.677777777777777,-17.64311111111111,0.55,0.0,3.0,13.0,16.0
165,2011-01-08,1,3,False,6,3,-17.677777777777777,-17.668333333333337,0.55,0.1642,0.0,7.0,7.0
166,2011-01-08,1,4,False,6,3,-17.677777777777777,-17.668333333333337,0.55,0.1642,0.0,1.0,1.0
167,2011-01-08,1,5,False,6,2,-17.688888888888886,-17.685166666666667,0.74,0.1642,0.0,5.0,5.0
168,2011-01-08,1,6,False,6,2,-17.688888888888886,-17.685166666666667,0.74,0.1642,0.0,2.0,2.0
169,2011-01-08,1,7,False,6,2,-17.688888888888886,-17.67677777777778,0.74,0.1045,1.0,8.0,9.0
170,2011-01-08,1,8,False,6,3,-17.688888888888886,-17.67677777777778,0.93,0.1045,0.0,15.0,15.0
171,2011-01-08,1,9,False,6,3,-17.688888888888886,-17.67677777777778,0.93,0.1045,0.0,20.0,20.0
172,2011-01-08,1,10,False,6,2,-17.677777777777777,-17.668333333333337,0.8,0.1642,5.0,56.0,61.0
173,2011-01-08,1,11,False,6,2,-17.666666666666668,-17.67677777777778,0.69,0.3881,2.0,60.0,62.0
174,2011-01-08,1,12,False,6,2,-17.666666666666668,-17.67677777777778,0.59,0.3582,8.0,90.0,98.0
175,2011-01-08,1,13,False,6,1,-17.666666666666668,-17.67677777777778,0.44,0.3284,7.0,95.0,102.0
176,2011-01-08,1,14,False,6,1,-17.666666666666668,-17.685166666666667,0.32,0.4925,12.0,83.0,95.0
177,2011-01-08,1,15,False,6,1,-17.666666666666668,-17.685166666666667,0.32,0.4478,5.0,69.0,74.0
178,2011-01-08,1,16,False,6,1,-17.677777777777777,-17.702,0.29,0.4478,8.0,68.0,76.0
179,2011-01-08,1,17,False,6,1,-17.688888888888886,-17.710444444444445,0.37,0.5522,5.0,64.0,69.0
180,2011-01-08,1,18,False,6,1,-17.700000000000003,-17.710444444444445,0.39,0.2985,3.0,52.0,55.0
181,2011-01-08,1,19,False,6,1,-17.700000000000003,-17.710444444444445,0.36,0.2537,4.0,26.0,30.0
182,2011-01-08,1,20,False,6,1,-17.711111111111112,-17.710444444444445,0.36,0.2537,0.0,28.0,28.0
183,2011-01-08,1,21,False,6,1,-17.711111111111112,-17.718833333333333,0.39,0.3582,2.0,35.0,37.0
184,2011-01-08,1,22,False,6,1,-17.711111111111112,-17.718833333333333,0.36,0.3881,1.0,33.0,34.0
185,2011-01-08,1,23,False,6,1,-17.72222222222222,-17.74411111111111,0.39,0.4478,0.0,22.0,22.0
186,2011-01-09,1,0,False,0,1,-17.72222222222222,-17.735666666666663,0.42,0.3881,1.0,24.0,25.0
187,2011-01-09,1,1,False,0,1,-17.72222222222222,-17.74411111111111,0.42,0.4627,0.0,12.0,12.0
188,2011-01-09,1,2,False,0,1,-17.72222222222222,-17.74411111111111,0.46,0.4627,0.0,11.0,11.0
189,2011-01-09,1,3,False,0,1,-17.72222222222222,-17.735666666666663,0.46,0.4179,0.0,4.0,4.0
190,2011-01-09,1,4,False,0,1,-17.733333333333334,-17.72727777777778,0.53,0.194,0.0,1.0,1.0
191,2011-01-09,1,5,False,0,1,-17.733333333333334,-17.72727777777778,0.53,0.194,0.0,1.0,1.0
192,2011-01-09,1,6,False,0,1,-17.72222222222222,-17.72727777777778,0.49,0.2836,0.0,1.0,1.0
193,2011-01-09,1,7,False,0,1,-17.733333333333334,-17.72727777777778,0.53,0.194,1.0,5.0,6.0
194,2011-01-09,1,8,False,0,1,-17.72222222222222,-17.72727777777778,0.49,0.2836,0.0,10.0,10.0
195,2011-01-09,1,9,False,0,1,-17.711111111111112,-17.735666666666663,0.46,0.5224,0.0,19.0,19.0
196,2011-01-09,1,10,False,0,1,-17.700000000000003,-17.718833333333333,0.43,0.3881,0.0,49.0,49.0
197,2011-01-09,1,11,False,0,1,-17.688888888888886,-17.710444444444445,0.4,0.5224,2.0,47.0,49.0
198,2011-01-09,1,12,False,0,1,-17.677777777777777,-17.702,0.37,0.4478,4.0,79.0,83.0
199,2011-01-09,1,13,False,0,1,-17.666666666666668,-17.685166666666667,0.34,0.4478,6.0,69.0,75.0
200,2011-01-09,1,14,False,0,1,-17.655555555555555,-17.67677777777778,0.32,0.4627,8.0,64.0,72.0
201,2011-01-09,1,15,False,0,1,-17.655555555555555,-17.668333333333337,0.35,0.3582,5.0,77.0,82.0
202,2011-01-09,1,16,False,0,1,-17.666666666666668,-17.685166666666667,0.34,0.4478,13.0,79.0,92.0
203,2011-01-09,1,17,False,0,1,-17.677777777777777,-17.69361111111111,0.37,0.3881,3.0,59.0,62.0
204,2011-01-09,1,18,False,0,1,-17.688888888888886,-17.702,0.4,0.3284,4.0,44.0,48.0
205,2011-01-09,1,19,False,0,1,-17.688888888888886,-17.702,0.43,0.3284,1.0,40.0,41.0
206,2011-01-09,1,20,False,0,1,-17.700000000000003,-17.710444444444445,0.46,0.2537,0.0,38.0,38.0
207,2011-01-09,1,21,False,0,1,-17.700000000000003,-17.718833333333333,0.46,0.4179,1.0,19.0,20.0
208,2011-01-09,1,22,False,0,1,-17.700000000000003,-17.710444444444445,0.46,0.2985,5.0,10.0,15.0
209,2011-01-09,1,23,False,0,1,-17.711111111111112,-17.702,0.5,0.194,0.0,6.0,6.0
210,2011-01-10,1,0,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2836,2.0,3.0,5.0
211,2011-01-10,1,1,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2836,1.0,0.0,1.0
212,2011-01-10,1,2,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2239,0.0,3.0,3.0
213,2011-01-10,1,3,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2239,0.0,1.0,1.0
214,2011-01-10,1,4,False,1,1,-17.72222222222222,-17.710444444444445,0.54,0.1343,1.0,2.0,3.0
215,2011-01-10,1,5,False,1,1,-17.72222222222222,-17.718833333333333,0.54,0.2537,0.0,3.0,3.0
216,2011-01-10,1,6,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2836,0.0,31.0,31.0
217,2011-01-10,1,7,False,1,1,-17.711111111111112,-17.710444444444445,0.5,0.2239,2.0,75.0,77.0
218,2011-01-10,1,8,False,1,2,-17.711111111111112,-17.710444444444445,0.5,0.2836,4.0,162.5,183.5
219,2011-01-10,1,9,False,1,2,-17.700000000000003,-17.710444444444445,0.5,0.2537,2.0,92.0,94.0
220,2011-01-10,1,10,False,1,2,-17.700000000000003,-17.710444444444445,0.5,0.2985,0.0,31.0,31.0
221,2011-01-10,1,11,False,1,2,-17.688888888888886,-17.702,0.47,0.2836,2.0,28.0,30.0
222,2011-01-10,1,12,False,1,2,-17.666666666666668,-17.67677777777778,0.4,0.2836,5.0,47.0,52.0
223,2011-01-10,1,13,False,1,2,-17.666666666666668,-17.67677777777778,0.4,0.2836,4.0,50.0,54.0
224,2011-01-10,1,14,False,1,2,-17.666666666666668,-17.668333333333337,0.4,0.2239,0.0,47.0,47.0
225,2011-01-10,1,15,False,1,2,-17.666666666666668,-17.668333333333337,0.4,0.2239,2.0,43.0,45.0
226,2011-01-10,1,16,False,1,1,-17.666666666666668,-17.659944444444445,0.4,0.1343,4.0,70.0,74.0
227,2011-01-10,1,17,False,1,1,-17.666666666666668,-17.6515,0.4,0.1045,4.0,162.5,178.0
228,2011-01-10,1,18,False,1,1,-17.666666666666668,-17.668333333333337,0.4,0.2239,1.0,154.0,155.0
229,2011-01-10,1,19,False,1,1,-17.688888888888886,-17.685166666666667,0.47,0.1642,3.0,92.0,95.0
230,2011-01-10,1,20,False,1,1,-17.688888888888886,-17.685166666666667,0.5,0.1642,1.0,73.0,74.0
231,2011-01-10,1,21,False,1,1,-17.700000000000003,-17.702,0.59,0.194,1.0,37.0,38.0
232,2011-01-10,1,22,False,1,1,-17.700000000000003,-17.69361111111111,0.59,0.1642,2.0,22.0,24.0
233,2011-01-10,1,23,False,1,1,-17.700000000000003,-17.69361111111111,0.59,0.1642,0.0,18.0,18.0
234,2011-01-11,1,0,False,2,1,-17.700000000000003,-17.685166666666667,0.59,0.1045,2.0,10.0,12.0
235,2011-01-11,1,1,False,2,1,-17.700000000000003,-17.69361111111111,0.59,0.1642,0.0,3.0,3.0
236,2011-01-11,1,2,False,2,2,-17.688888888888886,-17.69361111111111,0.55,0.194,0.0,3.0,3.0
237,2011-01-11,1,5,False,2,2,-17.688888888888886,-17.67677777777778,0.55,0.1343,0.0,6.0,6.0
238,2011-01-11,1,6,False,2,2,-17.688888888888886,-17.67677777777778,0.55,0.1343,0.0,27.0,27.0
239,2011-01-11,1,7,False,2,2,-17.688888888888886,-17.6515,0.55,0.0,2.0,97.0,99.0
240,2011-01-11,1,8,False,2,2,-17.677777777777777,-17.659944444444445,0.51,0.0896,3.0,162.5,183.5
241,2011-01-11,1,9,False,2,2,-17.677777777777777,-17.668333333333337,0.51,0.1642,3.0,127.0,130.0
242,2011-01-11,1,10,False,2,2,-17.666666666666668,-17.659944444444445,0.51,0.1642,3.0,51.0,54.0
